population,lr,depth,reg,RMSE
3,0.1103,10,1.1586,47.2635
3,0.1785,10,3.3335,46.5451
3,0.1665,10,3.8955,47.3431
3,0.1617,10,4.6141,47.3039
3,0.1332,10,3.4494,47.2797
3,0.0914,8,0.5609,47.3357
3,0.1387,10,3.0451,47.4125
3,0.1186,6,0.4278,46.8388
3,0.1377,10,4.9084,47.2226
3,0.1625,10,3.8146,47.4118
3,0.1475,10,2.9834,47.4205
3,0.0704,7,0.7489,47.4199
3,0.1355,10,2.1936,47.0641
3,0.1785,10,3.5757,47.3639
3,0.1663,10,4.9292,46.9472
3,0.1282,6,0.8787,46.8936
3,0.1665,10,4.4572,47.1302
3,0.0945,10,0.6838,46.7625
3,0.1239,7,1.3924,47.3831
3,0.1622,10,4.0221,47.0101
3,0.1152,6,0.5033,47.182
3,0.168,10,4.7685,46.7802
3,0.1716,10,3.0745,46.8631
3,0.1186,6,0.6113,47.303
3,0.1411,10,2.1763,47.4534
3,0.1174,7,1.004,47.4258
3,0.1632,10,4.258,46.8259
3,0.1078,10,1.5927,46.9818
3,0.0847,6,0.6889,46.9437
3,0.1391,10,2.5255,47.3751
3,0.1185,7,0.9076,47.1886
3,0.1133,10,1.4096,47.0921
3,0.1668,10,5.0,47.0242
3,0.1285,10,3.205,47.3005
3,0.1099,10,1.1449,47.2764
3,0.1597,10,3.8992,46.9894
3,0.1003,10,1.5266,47.2496
3,0.1116,7,0.5787,46.3277
3,0.1281,6,0.6298,47.3102
3,0.1035,10,1.0215,47.1161
4,0.1608,10,4.169,46.5425
4,0.1627,10,4.4591,46.8369
4,0.115,10,1.7,46.9698
4,0.1751,10,5.0,46.8289
4,0.1609,10,3.9746,46.7724
4,0.1294,6,0.9162,46.7354
4,0.1588,10,3.8199,46.5898
4,0.1888,10,5.0,46.9501
4,0.1431,10,2.7593,46.8594
4,0.156,10,3.6739,46.6666
4,0.1966,10,4.7313,46.7549
4,0.1591,10,4.042,46.9158
4,0.0969,10,1.1474,46.446
4,0.1224,6,0.499,46.8329
4,0.1024,10,2.4367,46.7761
4,0.1681,10,4.9084,46.9004
4,0.1397,10,2.0211,46.8297
4,0.1851,10,5.0,46.3276
4,0.1723,10,3.0435,46.3633
4,0.1646,10,4.611,46.5741
4,0.1531,10,4.0203,46.8962
4,0.1581,10,4.512,46.7968
4,0.1703,10,5.0,46.6303
4,0.1128,10,1.2978,46.1492
4,0.1148,10,1.1581,46.7493
4,0.1887,10,5.0,46.8638
4,0.1688,10,4.9765,46.7315
4,0.1532,10,3.4912,46.0179
4,0.1272,10,0.9914,46.3216
4,0.1255,8,1.4367,46.4917
4,0.1314,10,3.4866,46.8626
4,0.1597,10,3.838,46.5793
4,0.1708,10,3.025,46.9192
4,0.1439,10,2.801,46.3715
4,0.1582,10,3.9672,46.6686
4,0.1721,10,3.0961,46.5807
4,0.1087,8,0.9855,46.9725
4,0.1733,10,2.9987,46.8504
4,0.1339,10,2.6509,46.8468
4,0.1851,10,5.0,46.3272
4,0.1648,10,4.3831,46.512
4,0.1104,7,0.5633,46.2958
4,0.1116,10,1.2228,46.639
4,0.1694,10,4.6262,46.8311
4,0.1708,10,3.0837,46.3503
4,0.1436,10,2.7757,46.7162
4,0.119,8,0.4329,46.9295
4,0.167,10,4.9539,46.6703
4,0.1703,10,5.0,46.6294
4,0.1606,10,4.1763,46.8576
4,0.1168,10,1.4919,46.2823
4,0.1513,10,3.0915,46.5994
4,0.1516,10,3.37,46.0359
4,0.1669,10,4.9549,46.6726
4,0.1528,10,3.71,46.91
4,0.1534,10,3.3198,46.3034
4,0.0962,8,0.9366,46.6043
4,0.1428,10,2.201,46.6322
4,0.1123,10,1.2896,45.9659
4,0.163,10,4.4147,46.628
4,0.1758,10,3.1731,46.9173
4,0.0711,8,0.254,46.6355
4,0.1489,10,3.1389,46.4258
4,0.1135,7,0.386,46.4185
4,0.1672,10,4.4919,46.5059
4,0.1704,10,4.6654,46.3069
4,0.1682,10,4.6133,46.1394
4,0.0979,10,0.01,46.9303
4,0.1592,10,4.1491,46.7408
4,0.083,6,0.4739,46.95
4,0.1555,10,4.3413,46.8213
4,0.098,10,0.01,46.93
4,0.1601,10,4.0852,46.3339
4,0.1908,10,4.3865,46.6051
4,0.1701,10,2.005,46.4519
4,0.131,10,1.4625,46.9581
4,0.1004,8,0.2394,46.4827
4,0.173,10,5.0,46.7785
4,0.168,10,4.5673,46.9332
4,0.1219,8,1.5055,46.8958
4,0.122,10,2.2793,46.5527
4,0.1678,10,4.5762,46.6938
4,0.1537,10,3.5114,46.0409
4,0.1667,10,4.4775,46.8816
4,0.1722,10,4.8354,46.9065
4,0.1347,10,0.9569,46.6104
4,0.1173,6,0.4226,46.9702
4,0.153,10,3.4584,46.9604
4,0.1719,10,2.9657,46.3275
4,0.1695,10,4.9763,46.9429
4,0.1092,10,1.1133,46.7056
4,0.1194,7,0.01,46.5972
4,0.1119,10,1.3678,46.6539
4,0.1657,10,4.4572,46.8338
4,0.1887,10,5.0,46.864
4,0.1237,8,1.5266,46.9
4,0.1188,10,2.0817,46.9512
4,0.1097,10,1.0632,46.6731
4,0.1729,10,5.0,46.8154
4,0.1426,10,2.1879,46.6457
5,0.1582,10,3.9993,46.4172
5,0.1091,10,1.0776,46.4883
5,0.0969,10,1.1462,46.4454
5,0.16,10,4.1159,46.4777
5,0.1334,6,0.8125,46.4837
5,0.1253,6,0.7182,46.4481
5,0.1535,10,3.4737,46.2306
5,0.1166,10,1.3445,46.2337
5,0.1535,10,3.5193,46.261
5,0.16,10,3.8739,46.3014
5,0.1599,10,4.0632,46.144
5,0.1529,10,3.234,46.3527
5,0.1554,10,3.5361,46.4473
5,0.1851,10,5.0,46.3276
5,0.1056,10,0.5251,45.4826
5,0.1121,10,1.2133,46.256
5,0.1346,10,0.9786,46.4087
5,0.1307,10,1.3678,46.1403
5,0.1687,10,4.5317,46.3572
5,0.1488,10,3.1389,46.4263
5,0.1135,7,0.386,46.4185
5,0.1159,10,1.3013,46.4572
5,0.1569,10,3.8744,46.2453
5,0.185,10,5.0,46.3281
5,0.1623,10,3.8883,46.2203
5,0.185,10,5.0,46.3282
5,0.1271,10,3.6171,46.2036
5,0.1851,10,5.0,46.3276
5,0.1721,10,3.1127,46.4315
5,0.135,10,2.0079,46.4053
5,0.1529,10,3.3945,45.7672
5,0.1608,6,0.7908,45.9458
5,0.1728,10,3.0046,46.1981
5,0.1305,10,0.7714,45.9858
5,0.1649,10,4.3473,46.3732
5,0.1849,10,5.0,46.3817
5,0.161,10,3.925,46.3578
5,0.1574,10,3.9028,46.4859
5,0.0938,8,0.8681,46.452
5,0.0953,8,0.8836,46.4167
5,0.1851,10,5.0,46.3276
5,0.1704,10,4.6654,46.3069
5,0.1164,10,1.3776,46.3399
5,0.186,10,4.8517,46.4093
5,0.1159,10,1.2935,46.4536
5,0.1602,10,3.9215,46.3632
5,0.1718,10,3.024,46.2652
5,0.117,7,0.9366,46.1698
5,0.185,10,5.0,46.328
5,0.1849,10,5.0,46.3817
5,0.158,10,3.8121,46.4352
5,0.1237,8,1.3678,45.9096
5,0.1488,10,3.1331,46.4164
5,0.1607,10,4.1287,46.4113
5,0.1695,10,3.0683,46.4612
5,0.1592,10,4.0171,46.2322
5,0.16,10,3.8652,46.2996
5,0.1167,10,1.3996,46.3906
5,0.1605,10,4.1192,46.4415
5,0.1266,10,3.5803,46.3597
5,0.1124,10,1.2896,45.9658
5,0.1573,10,3.8065,46.3051
5,0.1849,10,5.0,46.3815
5,0.1135,7,0.386,46.3522
5,0.1246,8,1.4473,46.4558
5,0.185,10,5.0,46.3281
5,0.1729,10,3.0071,45.8855
5,0.1528,10,3.3471,46.4237
5,0.1663,10,4.9452,46.4697
5,0.1437,10,2.3023,46.4567
5,0.1534,10,3.4994,46.041
5,0.1851,10,5.0,46.327
5,0.1849,10,5.0,46.3814
5,0.1526,10,3.2349,46.0424
5,0.16,10,3.8748,46.4146
5,0.1646,10,4.3413,46.0471
5,0.1573,10,3.8974,46.2381
5,0.1614,10,4.4018,46.4139
5,0.1538,10,3.3236,46.4809
5,0.1051,8,0.3632,46.0531
5,0.1529,10,3.4581,46.11
5,0.1675,10,4.5952,46.099
5,0.172,10,2.9613,46.3263
5,0.1717,10,3.1837,46.48
5,0.1613,10,4.4109,46.0226
5,0.1851,10,5.0,46.3276
5,0.1731,10,3.0363,46.2056
5,0.1387,10,1.9966,46.4881
5,0.1846,10,4.9599,46.2244
5,0.1572,10,3.6556,46.3501
5,0.1683,10,4.6162,46.1382
5,0.1724,10,2.9822,46.0615
5,0.1601,10,3.9367,46.4198
5,0.1425,10,2.1981,46.4536
5,0.154,10,3.533,46.3433
5,0.1662,10,4.4741,46.3431
5,0.1609,10,4.1549,46.1583
5,0.1628,10,4.2862,46.2878
5,0.1721,10,2.9931,46.2937
5,0.1601,10,4.0852,46.3339
