population,lr,depth,reg,RMSE
5,0.1629,6,0.8463,46.2308
5,0.1627,6,0.8663,46.357
5,0.1639,6,0.8932,45.7943
5,0.1632,6,0.8663,45.8809
5,0.1626,6,0.8383,46.2306
5,0.1644,6,0.9173,46.2494
5,0.1628,6,0.8385,46.0862
5,0.1629,6,0.8742,46.0898
5,0.1624,6,0.8273,45.942
5,0.1623,6,0.8347,46.0825
5,0.1644,6,0.9124,46.2486
5,0.1634,6,0.8858,45.9544
5,0.1625,6,0.8265,45.9416
5,0.1642,6,0.9081,46.0166
5,0.1634,6,0.8723,45.7372
5,0.1628,6,0.8519,46.0838
5,0.1637,6,0.8891,45.9533
5,0.1632,6,0.8671,45.7371
5,0.1629,6,0.882,46.3022
5,0.1636,6,0.9001,46.0319
5,0.163,6,0.8655,45.7376
5,0.1632,6,0.8758,46.0877
5,0.1614,6,0.7865,45.9381
5,0.163,6,0.8414,46.1824
5,0.1613,6,0.8024,45.9452
5,0.1637,6,0.8912,45.9541
5,0.1624,6,0.8362,46.0825
5,0.1626,6,0.8447,46.0834
5,0.1638,6,0.8833,45.7373
5,0.1642,6,0.9081,46.0166
5,0.1633,6,0.8904,45.9568
5,0.1628,6,0.8553,46.0847
5,0.1631,6,0.8663,45.7373
5,0.1627,6,0.846,46.0824
5,0.1631,6,0.8663,45.7373
6,0.1643,6,0.901,45.9706
6,0.1637,6,0.8815,45.7377
6,0.1639,6,0.8959,45.7952
6,0.164,6,0.9034,45.7974
6,0.1641,6,0.8972,45.7341
6,0.1644,6,0.9034,45.9707
6,0.1646,6,0.9295,45.2578
6,0.1646,6,0.9233,45.258
6,0.164,6,0.8966,45.7948
6,0.164,6,0.8885,45.7916
6,0.1638,6,0.884,45.7378
6,0.1645,6,0.9198,45.9403
6,0.1647,6,0.9299,45.2578
6,0.1635,6,0.8837,45.9532
6,0.1637,6,0.8885,45.9532
6,0.1636,6,0.8837,45.7389
6,0.1645,6,0.9223,45.258
6,0.164,6,0.9006,45.7965
6,0.1643,6,0.902,45.9708
6,0.1635,6,0.874,45.8814
6,0.1634,6,0.8833,45.9544
6,0.1646,6,0.9245,45.9404
6,0.164,6,0.8994,45.7955
6,0.1644,6,0.9034,45.9707
6,0.1636,6,0.8888,45.9538
6,0.1631,6,0.8694,45.7383
6,0.1646,6,0.9233,45.258
6,0.1638,6,0.8828,45.8771
