population,lr,depth,reg,RMSE
4,0.1112,10,1.5637,46.7441
4,0.1084,10,1.0406,46.7371
4,0.0978,10,0.01,46.8091
4,0.1114,10,1.5762,46.5972
4,0.1342,10,2.5131,46.787
4,0.0979,10,1.1966,46.7543
4,0.1282,10,1.9941,46.9302
4,0.1103,10,2.1648,46.8137
4,0.1069,10,0.5548,45.6548
4,0.1167,10,1.3989,46.2665
4,0.1156,10,1.3383,46.2256
4,0.0937,10,0.6203,46.8143
4,0.0972,10,0.8699,46.7663
4,0.1219,10,2.6651,46.8595
4,0.1142,10,1.3987,46.5048
4,0.1069,10,0.5507,46.1012
4,0.1175,10,1.4272,46.2086
4,0.1279,10,1.7901,46.6231
4,0.1134,10,1.3153,46.622
4,0.1154,10,1.4899,46.5826
4,0.1434,10,2.5297,46.8175
4,0.1126,10,2.4456,46.9129
4,0.1317,10,2.7239,46.8711
4,0.1399,10,2.0657,46.9469
4,0.1134,10,1.2127,46.191
4,0.1298,10,2.5203,46.9348
4,0.1188,10,2.0769,46.951
4,0.1377,10,2.1336,46.6799
4,0.1136,10,1.3747,46.7498
4,0.1171,10,1.3967,46.2268
4,0.1159,10,1.3372,46.22
4,0.1064,10,1.3982,46.7338
4,0.1136,10,1.4933,46.6574
4,0.1509,10,3.0608,46.5001
4,0.1302,10,1.4238,46.474
4,0.112,10,1.3786,46.6539
4,0.131,10,1.8893,46.8985
4,0.1108,10,1.1743,46.8069
4,0.1525,10,3.2307,46.4643
4,0.1174,10,1.404,46.2555
4,0.1137,10,1.2888,46.9699
4,0.116,10,1.3459,46.1484
4,0.1167,10,1.3925,46.094
4,0.1166,10,1.7166,46.8417
4,0.153,10,3.4105,45.7679
4,0.1009,10,1.8507,46.8062
4,0.1166,10,1.3977,46.2668
4,0.1167,10,1.3312,46.76
4,0.1087,10,1.497,46.9387
4,0.1517,10,3.2945,46.5571
4,0.1168,10,1.3678,46.1653
4,0.1126,10,1.1678,46.6945
4,0.1127,10,1.6538,46.6538
4,0.1157,10,1.447,46.545
4,0.1509,10,3.0551,46.5706
4,0.1373,10,1.9325,46.9435
4,0.1134,10,1.2138,46.1912
4,0.107,10,1.5683,46.7244
4,0.1131,10,1.1412,46.9547
4,0.1115,10,2.2901,46.5558
4,0.1541,10,3.6081,46.6674
4,0.1363,10,2.0941,46.2307
4,0.1318,10,3.5145,46.8597
4,0.1159,10,1.2967,46.4542
4,0.1566,10,3.459,46.7979
4,0.1529,10,2.7001,46.9513
4,0.1122,10,1.2234,46.3277
4,0.1366,10,2.1124,45.2279
4,0.131,10,1.4741,46.9087
4,0.1144,10,1.1594,46.8461
4,0.1171,10,1.5007,46.2801
4,0.1301,10,1.4126,45.6782
4,0.1074,10,1.6698,46.7335
4,0.1141,10,1.1415,46.6683
4,0.1168,10,1.3505,46.2318
4,0.1575,10,3.6993,46.7057
4,0.1483,10,3.2543,46.5824
4,0.1153,10,1.3006,46.6588
4,0.1165,10,1.698,46.9437
4,0.1117,10,1.2529,46.2968
4,0.1165,10,1.3304,46.456
4,0.113,10,1.2445,46.931
4,0.109,10,1.1033,46.8681
4,0.1049,10,1.0343,46.7653
4,0.1016,10,1.0404,46.3298
4,0.1169,10,1.3203,46.6178
4,0.1048,10,1.0553,46.2645
4,0.1298,10,1.6491,46.8948
4,0.1121,10,1.3824,46.654
4,0.1437,10,2.2842,46.7803
4,0.1073,10,1.539,46.6335
4,0.1159,10,1.3437,46.2214
4,0.1174,10,1.4092,46.4976
4,0.1383,10,1.9346,46.8814
4,0.1173,10,1.3831,46.2841
4,0.1494,10,3.4236,46.8428
4,0.1164,10,1.3896,45.7202
4,0.1158,10,1.2963,46.4566
4,0.14,10,2.0728,46.9474
5,0.1126,10,1.294,46.1503
5,0.1292,10,1.872,46.2347
5,0.1444,10,2.3455,46.4852
5,0.1067,10,0.5532,45.6555
5,0.1162,10,1.308,46.454
5,0.1293,10,1.8758,46.2344
5,0.1487,10,3.1325,46.458
5,0.117,10,1.4262,46.0052
5,0.1164,10,1.3334,46.4586
5,0.1051,10,1.0843,46.3799
5,0.155,10,3.4264,46.2712
5,0.1166,10,1.3977,46.2668
5,0.1165,10,1.3608,46.2382
5,0.1149,10,1.2483,46.4432
5,0.128,10,3.6993,46.3578
5,0.1301,10,1.4126,45.6782
5,0.1061,10,0.561,45.8651
5,0.1163,10,1.3278,46.4576
5,0.0965,10,1.0778,45.8876
5,0.1204,10,1.4904,46.2559
5,0.1164,10,1.3481,46.1526
5,0.153,10,3.3764,46.4852
5,0.1127,10,1.2721,46.3646
5,0.1166,10,1.3504,46.235
5,0.1302,10,1.4238,46.474
5,0.113,10,1.5417,46.4033
5,0.1363,10,2.0638,46.2272
5,0.1048,10,1.0553,46.2645
5,0.1547,10,3.6534,46.4865
5,0.1164,10,1.3896,45.7202
5,0.1159,10,1.3049,46.4581
5,0.1122,10,1.2259,46.3284
5,0.1164,10,1.3896,45.7202
5,0.1049,10,1.0702,46.2828
5,0.116,10,1.3401,46.2197
5,0.1128,10,1.3001,46.1496
5,0.1174,10,1.4451,46.3904
5,0.1166,10,1.3414,46.2329
5,0.116,10,1.343,46.1473
5,0.1069,10,0.5548,45.6548
5,0.1164,10,1.371,46.3375
5,0.1523,10,3.3602,46.2982
5,0.1127,10,1.2952,46.069
5,0.1273,10,1.7698,46.3439
5,0.1293,10,1.8577,46.4298
5,0.14,10,2.1243,46.4505
