population,epsilon,lr,depth,reg,RMSE
5,46.49,0.1251,6,0.9453,46.1548
5,46.49,0.1307,11,1.2963,46.3776
5,46.49,0.1237,11,1.4915,46.4077
5,46.49,0.1261,11,0.0,46.3951
5,46.49,0.1296,11,1.4766,45.9305
5,46.49,0.1205,10,1.4898,46.2553
5,46.49,0.1159,10,1.3334,46.2187
5,46.49,0.086,6,0.5208,45.6178
5,46.49,0.1877,11,2.8083,46.4298
5,46.49,0.1188,8,0.4225,46.4637
5,46.49,0.1155,7,0.8599,46.0389
5,46.49,0.1158,11,1.2327,46.4591
5,46.49,0.1293,11,1.2824,46.1568
5,46.49,0.1059,10,1.2943,46.4865
5,46.49,0.1152,7,0.841,46.3504
5,46.49,0.0863,8,0.8007,46.4407
5,46.49,0.1171,10,1.4366,46.0989
5,46.49,0.1163,11,1.2391,46.1526
5,46.49,0.1153,7,0.8335,46.3468
5,46.49,0.1256,11,1.3501,46.4585
5,46.49,0.1536,11,0.9061,46.2648
5,46.49,0.1209,11,1.2812,46.1358
5,46.49,0.1124,10,1.2882,46.0716
5,46.49,0.1362,10,2.0829,46.3019
5,46.49,0.1151,10,1.2735,46.31
5,46.49,0.1126,10,1.2848,46.3486
5,46.49,0.0886,7,0.5707,46.4211
5,46.49,0.1316,6,0.9892,45.9813
5,46.49,0.1338,6,0.7695,46.4648
5,46.49,0.0954,8,0.9135,45.7419
5,46.49,0.1335,6,0.7501,46.458
